2017-07-18 14:15:08 | 8463 | 127.0.0.1 | 56ecdf2f65c3c62cbd4edebf5fb7ea67d6ba388b | /iapi/membervip/center/member_center?id=a484619482&openid=oX3WojklzII6FwXZkN2ob0MpBzHo | POST=[] | {"namespace":"core\/MY_Front_Member","curl":"http:\/\/vip.iwide.cn\/api\/member\/create_update_member_info?t=1500358508","param":{"inter_id":"a484619482","token":"","openid":"oX3WojklzII6FwXZkN2ob0MpBzHo","nickname":"Mr.plum"},"timeout":20,"usetime":0.10165786743164,"result":"{\"err\":\"1003\",\"msg\":\"\\u7f3a\\u5c11inter_id\"}"}
2017-07-18 14:15:08 | 8463 | 127.0.0.1 | 56ecdf2f65c3c62cbd4edebf5fb7ea67d6ba388b | /iapi/membervip/center/member_center?id=a484619482&openid=oX3WojklzII6FwXZkN2ob0MpBzHo | POST=[] | {"namespace":"core\/MY_Front_Member","curl":"http:\/\/vip.iwide.cn\/vapi\/member\/save_memberinfo?t=1500358508","param":{"inter_id":"a484619482","openid":"oX3WojklzII6FwXZkN2ob0MpBzHo","data":{"nickname":"Mr.plum","is_auto":1}},"timeout":20,"usetime":0.11054921150208,"result":"{\"err\":\"40003\",\"msg\":\"\\u4fdd\\u5b58\\u5931\\u8d25\\u6216\\u6570\\u636e\\u6ca1\\u6709\\u6539\\u53d8\"}"}
2017-07-18 14:15:08 | 8463 | 127.0.0.1 | 56ecdf2f65c3c62cbd4edebf5fb7ea67d6ba388b | /iapi/membervip/center/member_center?id=a484619482&openid=oX3WojklzII6FwXZkN2ob0MpBzHo | POST=[] | {"namespace":"core\/MY_Front_Member","curl":"http:\/\/vip.iwide.cn\/vapi\/member\/member_template?t=1500358508","param":{"inter_id":"a484619482","openid":"oX3WojklzII6FwXZkN2ob0MpBzHo"},"timeout":20,"usetime":0.1147449016571,"result":"{\"data\":\"phase2\"}"}
2017-07-18 14:15:08 | 8463 | 127.0.0.1 | 56ecdf2f65c3c62cbd4edebf5fb7ea67d6ba388b | /iapi/membervip/center/member_center?id=a484619482&openid=oX3WojklzII6FwXZkN2ob0MpBzHo | POST=[] | {"namespace":"core\/MY_Front_Member","curl":"http:\/\/vip.iwide.cn\/vapi\/adminmember\/get_custom_field_rule?t=1500358508","param":{"inter_id":"a484619482"},"timeout":20,"usetime":0.076133012771606,"result":"{\"id\":\"12\",\"inter_id\":\"a484619482\",\"value\":\"{\\\"balance_use\\\":\\\"t\\\",\\\"credit_use\\\":\\\"t\\\",\\\"credit\\\":{\\\"default\\\":\\\"f\\\",\\\"name\\\":\\\"\\\\u5fae\\\\u83cc\\\\u5206\\\"},\\\"balance\\\":{\\\"default\\\":\\\"f\\\",\\\"name\\\":\\\"\\\\u5fae\\\\u83cc\\\\u5e01\\\"},\\\"inter_id\\\":\\\"a484619482\\\",\\\"config_id\\\":\\\"12\\\"}\",\"createtime\":\"2017-03-27 19:30:51\",\"last_update_time\":\"2017-04-06 10:20:14\"}"}
2017-07-18 14:15:09 | 8463 | 127.0.0.1 | 56ecdf2f65c3c62cbd4edebf5fb7ea67d6ba388b | /iapi/membervip/center/member_center?id=a484619482&openid=oX3WojklzII6FwXZkN2ob0MpBzHo | POST=[] | {"namespace":"core\/MY_Front_Member","curl":"http:\/\/vip.iwide.cn\/vapi\/member\/center?t=1500358508","param":{"inter_id":"a484619482","openid":"oX3WojklzII6FwXZkN2ob0MpBzHo"},"timeout":20,"usetime":0.13542509078979,"result":"{\"data\":{\"member_id\":\"8495922\",\"inter_id\":\"a484619482\",\"open_id\":\"oX3WojklzII6FwXZkN2ob0MpBzHo\",\"mem_card_no\":\"8595922\",\"login_accumulate\":\"0\",\"createtime\":\"1485137901\",\"last_update_time\":\"2017-06-22 17:55:30\",\"member_info_id\":\"10636745\",\"open_id_current_login\":\"\",\"pms_type\":\"\",\"member_mode\":\"1\",\"name\":\"\\u5fae\\u4fe1\\u7528\\u6237\",\"sex\":\"3\",\"birth\":\"0\",\"telephone\":\"\",\"cellphone\":\"\",\"qq\":\"\",\"email\":\"\",\"id_card_no\":\"\",\"address\":\"\",\"is_active\":\"t\",\"is_login\":\"f\",\"member_lvl_id\":\"347\",\"lvl_pms_code\":\",A,\",\"membership_number\":\"JFK10636745628491\",\"password\":\"\",\"nickname\":\"Mr.plum\",\"growth_value\":\"0\",\"balance\":\"0.00\",\"balance_accumulate\":\"0.00\",\"balance_passwd\":\"\",\"credit\":\"0\",\"credit_expire_type\":\"1\",\"credit_accumulate\":\"0\",\"last_login_time\":\"0\",\"subtime\":\"0\",\"audittime\":\"0\",\"pms_user_id\":\"\",\"member_type\":\"1\",\"company_name\":null,\"employee_id\":null,\"audit\":\"3\",\"mem_id\":\"0\",\"upgrade_time\":\"0000-00-00 00:00:00\",\"expiretime\":\"0000-00-00 00:00:00\",\"prev_expire_time\":\"0000-00-00 00:00:00\",\"keep_lvl\":\"0\",\"duty\":null,\"member_inter_config_id\":\"1463\",\"type_code\":\"member\",\"value\":\"login\",\"sync_config\":\"1\",\"lvl_name\":\"\\u5fae\\u4fe1\\u7c89\\u4e1d\",\"lvl_pms_code_type\":null,\"up_rule_config\":\"\",\"base_discount\":\"9.8\",\"privilege_remark\":\"\",\"bonus_size\":\"0.000000\",\"is_default\":\"t\",\"credit_up_level\":\"0\",\"deposit_up_level\":\"0\",\"consume_bonus_size\":\"100.000000\",\"lvl_up_sort\":\"1\",\"wx_lvl_bg_url\":\"\",\"ftp_wx_lvl_bg_url\":\"\",\"lvl_icon\":\"\",\"upgrade_night\":\"0\",\"keep_night\":\"0\",\"card_count\":4}}"}
2017-07-18 14:15:09 | 8463 | 127.0.0.1 | 56ecdf2f65c3c62cbd4edebf5fb7ea67d6ba388b | /iapi/membervip/center/member_center?id=a484619482&openid=oX3WojklzII6FwXZkN2ob0MpBzHo | POST=[] | {"namespace":"core\/MY_Front_Member","curl":"http:\/\/vip.iwide.cn\/vapi\/adminmember\/get_member_center_info?t=1500358509","param":{"inter_id":"a484619482"},"timeout":20,"usetime":0.090321063995361,"result":"{\"data\":{\"nav_id\":\"428\",\"inter_id\":\"a484619482\",\"nav_conf\":\"{\\\"1\\\":[{\\\"icon\\\":\\\"ui_icon1\\\",\\\"modelname\\\":\\\"\\\\u9886\\\\u53d6\\\\u4f1a\\\\u5458\\\\u5361\\\",\\\"link\\\":\\\"http:\\\\\/\\\\\/test1.lostsk.com\\\\\/index.php\\\\\/membervip\\\\\/wechatcard\\\\\/?id=a484619482\\\",\\\"is_login\\\":2,\\\"listorder\\\":\\\"0\\\"}],\\\"2\\\":{\\\"1\\\":{\\\"icon\\\":\\\"ui_icon15\\\",\\\"modelname\\\":\\\"\\\\u8d2d\\\\u4e70\\\\u4f1a\\\\u5458\\\\u5361\\\",\\\"link\\\":\\\"http:\\\\\/\\\\\/test1.lostsk.com\\\\\/index.php\\\\\/membervip\\\\\/depositcard?id=a484619482\\\",\\\"is_login\\\":2,\\\"listorder\\\":\\\"1\\\"},\\\"0\\\":{\\\"icon\\\":\\\"ui_icon14\\\",\\\"modelname\\\":\\\"\\\\u4f1a\\\\u5458\\\\u50a8\\\\u503c\\\",\\\"link\\\":\\\"http:\\\\\/\\\\\/test1.lostsk.com\\\\\/index.php\\\\\/membervip\\\\\/depositcard\\\\\/buydeposit?id=a484619482\\\",\\\"is_login\\\":2,\\\"listorder\\\":\\\"2\\\"},\\\"2\\\":{\\\"icon\\\":\\\"ui_icon13\\\",\\\"modelname\\\":\\\"\\\\u4f1a\\\\u5458\\\\u7ed1\\\\u5b9a\\\",\\\"link\\\":\\\"http:\\\\\/\\\\\/test1.lostsk.com\\\\\/index.php\\\\\/membervip\\\\\/login\\\\\/binning_login?id=a484619482\\\",\\\"is_login\\\":2,\\\"listorder\\\":\\\"6\\\"}},\\\"3\\\":[{\\\"icon\\\":\\\"ui_icon5\\\",\\\"modelname\\\":\\\"\\\\u7b7e\\\\u5230\\\",\\\"link\\\":\\\"http:\\\\\/\\\\\/test1.lostsk.com\\\\\/index.php\\\\\/membervip\\\\\/sign\\\\\/index?id=a484619482\\\",\\\"is_login\\\":2,\\\"listorder\\\":\\\"3\\\"},{\\\"icon\\\":\\\"ui_icon13\\\",\\\"modelname\\\":\\\"\\\\u9080\\\\u8bf7\\\\u597d\\\\u53cb\\\",\\\"link\\\":\\\"http:\\\\\/\\\\\/test1.lostsk.com\\\\\/index.php\\\\\/membervip\\\\\/invitate?id=a484619482\\\\u3000\\\",\\\"is_login\\\":2,\\\"listorder\\\":\\\"4\\\"}],\\\"4\\\":[{\\\"icon\\\":\\\"ui_icon7\\\",\\\"modelname\\\":\\\"\\\\u5168\\\\u5458\\\\u5206\\\\u9500\\\",\\\"link\\\":\\\"http:\\\\\/\\\\\/test1.lostsk.com\\\\\/index.php\\\\\/distribute\\\\\/distribute\\\\\/reg?id=a484619482\\\",\\\"is_login\\\":2,\\\"listorder\\\":\\\"5\\\"}]}\",\"createtime\":\"0\",\"last_uptate_time\":\"2017-06-28 15:10:27\"}}"}
2017-07-18 14:17:44 | 8462 | 127.0.0.1 | 56ecdf2f65c3c62cbd4edebf5fb7ea67d6ba388b | /iapi/membervip/center/member_center?id=a484619482&openid=oX3WojklzII6FwXZkN2ob0MpBzHo | POST=[] | {"namespace":"core\/MY_Front_Member","curl":"http:\/\/vip.iwide.cn\/api\/member\/create_update_member_info?t=1500358664","param":{"inter_id":"a484619482","token":"","openid":"oX3WojklzII6FwXZkN2ob0MpBzHo","nickname":"Mr.plum"},"timeout":20,"usetime":0.10855484008789,"result":"{\"err\":\"1003\",\"msg\":\"\\u7f3a\\u5c11inter_id\"}"}
2017-07-18 14:17:44 | 8462 | 127.0.0.1 | 56ecdf2f65c3c62cbd4edebf5fb7ea67d6ba388b | /iapi/membervip/center/member_center?id=a484619482&openid=oX3WojklzII6FwXZkN2ob0MpBzHo | POST=[] | {"namespace":"core\/MY_Front_Member","curl":"http:\/\/vip.iwide.cn\/vapi\/member\/save_memberinfo?t=1500358664","param":{"inter_id":"a484619482","openid":"oX3WojklzII6FwXZkN2ob0MpBzHo","data":{"nickname":"Mr.plum","is_auto":1}},"timeout":20,"usetime":0.11873197555542,"result":"{\"err\":\"40003\",\"msg\":\"\\u4fdd\\u5b58\\u5931\\u8d25\\u6216\\u6570\\u636e\\u6ca1\\u6709\\u6539\\u53d8\"}"}
2017-07-18 14:17:44 | 8462 | 127.0.0.1 | 56ecdf2f65c3c62cbd4edebf5fb7ea67d6ba388b | /iapi/membervip/center/member_center?id=a484619482&openid=oX3WojklzII6FwXZkN2ob0MpBzHo | POST=[] | {"namespace":"core\/MY_Front_Member","curl":"http:\/\/vip.iwide.cn\/vapi\/member\/member_template?t=1500358664","param":{"inter_id":"a484619482","openid":"oX3WojklzII6FwXZkN2ob0MpBzHo"},"timeout":20,"usetime":0.13578200340271,"result":"{\"data\":\"phase2\"}"}
2017-07-18 14:17:45 | 8462 | 127.0.0.1 | 56ecdf2f65c3c62cbd4edebf5fb7ea67d6ba388b | /iapi/membervip/center/member_center?id=a484619482&openid=oX3WojklzII6FwXZkN2ob0MpBzHo | POST=[] | {"namespace":"core\/MY_Front_Member","curl":"http:\/\/vip.iwide.cn\/vapi\/adminmember\/get_custom_field_rule?t=1500358664","param":{"inter_id":"a484619482"},"timeout":20,"usetime":0.087317943572998,"result":"{\"id\":\"12\",\"inter_id\":\"a484619482\",\"value\":\"{\\\"balance_use\\\":\\\"t\\\",\\\"credit_use\\\":\\\"t\\\",\\\"credit\\\":{\\\"default\\\":\\\"f\\\",\\\"name\\\":\\\"\\\\u5fae\\\\u83cc\\\\u5206\\\"},\\\"balance\\\":{\\\"default\\\":\\\"f\\\",\\\"name\\\":\\\"\\\\u5fae\\\\u83cc\\\\u5e01\\\"},\\\"inter_id\\\":\\\"a484619482\\\",\\\"config_id\\\":\\\"12\\\"}\",\"createtime\":\"2017-03-27 19:30:51\",\"last_update_time\":\"2017-04-06 10:20:14\"}"}
2017-07-18 14:17:45 | 8462 | 127.0.0.1 | 56ecdf2f65c3c62cbd4edebf5fb7ea67d6ba388b | /iapi/membervip/center/member_center?id=a484619482&openid=oX3WojklzII6FwXZkN2ob0MpBzHo | POST=[] | {"namespace":"core\/MY_Front_Member","curl":"http:\/\/vip.iwide.cn\/vapi\/member\/center?t=1500358665","param":{"inter_id":"a484619482","openid":"oX3WojklzII6FwXZkN2ob0MpBzHo"},"timeout":20,"usetime":0.12976503372192,"result":"{\"data\":{\"member_id\":\"8495922\",\"inter_id\":\"a484619482\",\"open_id\":\"oX3WojklzII6FwXZkN2ob0MpBzHo\",\"mem_card_no\":\"8595922\",\"login_accumulate\":\"0\",\"createtime\":\"1485137901\",\"last_update_time\":\"2017-06-22 17:55:30\",\"member_info_id\":\"10636745\",\"open_id_current_login\":\"\",\"pms_type\":\"\",\"member_mode\":\"1\",\"name\":\"\\u5fae\\u4fe1\\u7528\\u6237\",\"sex\":\"3\",\"birth\":\"0\",\"telephone\":\"\",\"cellphone\":\"\",\"qq\":\"\",\"email\":\"\",\"id_card_no\":\"\",\"address\":\"\",\"is_active\":\"t\",\"is_login\":\"f\",\"member_lvl_id\":\"347\",\"lvl_pms_code\":\",A,\",\"membership_number\":\"JFK10636745628491\",\"password\":\"\",\"nickname\":\"Mr.plum\",\"growth_value\":\"0\",\"balance\":\"0.00\",\"balance_accumulate\":\"0.00\",\"balance_passwd\":\"\",\"credit\":\"0\",\"credit_expire_type\":\"1\",\"credit_accumulate\":\"0\",\"last_login_time\":\"0\",\"subtime\":\"0\",\"audittime\":\"0\",\"pms_user_id\":\"\",\"member_type\":\"1\",\"company_name\":null,\"employee_id\":null,\"audit\":\"3\",\"mem_id\":\"0\",\"upgrade_time\":\"0000-00-00 00:00:00\",\"expiretime\":\"0000-00-00 00:00:00\",\"prev_expire_time\":\"0000-00-00 00:00:00\",\"keep_lvl\":\"0\",\"duty\":null,\"member_inter_config_id\":\"1463\",\"type_code\":\"member\",\"value\":\"login\",\"sync_config\":\"1\",\"lvl_name\":\"\\u5fae\\u4fe1\\u7c89\\u4e1d\",\"lvl_pms_code_type\":null,\"up_rule_config\":\"\",\"base_discount\":\"9.8\",\"privilege_remark\":\"\",\"bonus_size\":\"0.000000\",\"is_default\":\"t\",\"credit_up_level\":\"0\",\"deposit_up_level\":\"0\",\"consume_bonus_size\":\"100.000000\",\"lvl_up_sort\":\"1\",\"wx_lvl_bg_url\":\"\",\"ftp_wx_lvl_bg_url\":\"\",\"lvl_icon\":\"\",\"upgrade_night\":\"0\",\"keep_night\":\"0\",\"card_count\":4}}"}
